complaint_id,typology_id,typology_name,amount_inr,victim_state,victim_district,incident_timestamp,complaint_timestamp,available_timestamp
CMP_202600015,TYP_02,Fake Loan App,5872.27,Tamil Nadu,District-49,2025-04-07T18:19:00,2025-04-08T04:19:00,2025-04-08T04:47:00
CMP_202600016,TYP_04,Investment / Crypto Scam,1147464.75,Punjab,Amritsar,2025-06-16T09:50:00,2025-06-16T11:50:00,2025-06-16T12:14:00
CMP_202600017,TYP_03,Part-Time Job Scam,200311.89,Madhya Pradesh,District-60,2025-04-30T13:23:00,2025-04-30T23:23:00,2025-04-30T23:41:00
CMP_202600018,TYP_05,Sextortion,33103.37,Rajasthan,District-46,2025-05-12T18:35:00,2025-05-12T20:35:00,2025-05-12T21:10:00
CMP_202600019,TYP_02,Fake Loan App,3412.84,Jharkhand,District-72,2025-03-11T17:03:00,2025-03-11T18:03:00,2025-03-11T18:09:00
CMP_202600020,TYP_03,Part-Time Job Scam,55670.74,Andhra Pradesh,District-67,2025-05-30T13:07:00,2025-05-30T21:07:00,2025-05-30T21:40:00
CMP_202600021,TYP_05,Sextortion,63731.25,Uttar Pradesh,District-43,2025-06-19T13:45:00,2025-06-20T00:45:00,2025-06-20T01:18:00
CMP_202600022,TYP_05,Sextortion,27439.39,Maharashtra,Pune,2025-03-19T13:00:00,2025-03-20T16:00:00,2025-03-20T16:13:00
CMP_202600023,TYP_06,Marketplace / OLX Fraud,7788.5,Jharkhand,Jamtara,2025-06-21T14:29:00,2025-06-21T21:29:00,2025-06-21T22:25:00
CMP_202600024,TYP_01,OTP / KYC Fraud,19103.51,Odisha,District-68,2025-02-09T15:42:00,2025-02-10T15:42:00,2025-02-10T16:30:00
CMP_202600025,TYP_03,Part-Time Job Scam,94982.02,Uttar Pradesh,District-43,2025-05-11T14:19:00,2025-05-12T10:19:00,2025-05-12T10:55:00
CMP_202600026,TYP_06,Marketplace / OLX Fraud,12814.59,Odisha,District-54,2025-05-26T13:21:00,2025-05-27T14:21:00,2025-05-27T14:45:00
CMP_202600027,TYP_02,Fake Loan App,13523.6,Rajasthan,Alwar,2025-03-20T16:15:00,2025-03-20T19:15:00,2025-03-20T19:51:00
CMP_202600028,TYP_02,Fake Loan App,23711.55,Uttar Pradesh,District-37,2025-03-04T15:39:00,2025-03-04T16:39:00,2025-03-04T17:35:00
CMP_202600029,TYP_02,Fake Loan App,12840.89,Jharkhand,Jamtara,2025-01-03T10:09:00,2025-01-04T07:09:00,2025-01-04T07:48:00
CMP_202600030,TYP_06,Marketplace / OLX Fraud,7509.45,Tamil Nadu,Chennai,2025-02-04T13:18:00,2025-02-05T04:18:00,2025-02-05T05:16:00
CMP_202600031,TYP_02,Fake Loan App,13966.52,Uttar Pradesh,District-43,2025-01-26T13:02:00,2025-01-26T14:02:00,2025-01-26T14:44:00
CMP_202600032,TYP_01,OTP / KYC Fraud,65829.67,Uttar Pradesh,Noida,2025-06-06T12:18:00,2025-06-06T16:18:00,2025-06-06T16:31:00
CMP_202600033,TYP_05,Sextortion,24622.9,Bihar,District-38,2025-06-17T15:45:00,2025-06-17T19:45:00,2025-06-17T20:42:00
CMP_202600034,TYP_03,Part-Time Job Scam,86031.9,Gujarat,District-31,2025-04-29T10:09:00,2025-04-29T23:09:00,2025-04-29T23:59:00
CMP_202600035,TYP_06,Marketplace / OLX Fraud,24408.51,Chhattisgarh,District-71,2025-05-31T18:19:00,2025-06-01T03:19:00,2025-06-01T04:09:00
CMP_202600036,TYP_03,Part-Time Job Scam,172168.22,West Bengal,District-55,2025-06-18T18:20:00,2025-06-18T20:20:00,2025-06-18T21:13:00
CMP_202600037,TYP_01,OTP / KYC Fraud,12697.37,Gujarat,District-24,2025-04-17T18:02:00,2025-04-18T10:02:00,2025-04-18T10:56:00
CMP_202600038,TYP_02,Fake Loan App,9692.73,Kerala,District-65,2025-03-12T10:33:00,2025-03-12T19:33:00,2025-03-12T20:03:00
CMP_202600039,TYP_03,Part-Time Job Scam,1190601.82,Kerala,District-59,2025-06-01T07:35:00,2025-06-02T04:35:00,2025-06-02T04:58:00
CMP_202600040,TYP_03,Part-Time Job Scam,480754.75,Madhya Pradesh,District-60,2025-06-05T18:36:00,2025-06-05T20:36:00,2025-06-05T20:55:00
CMP_202600041,TYP_05,Sextortion,118301.17,Karnataka,Bengaluru Urban,2025-05-16T18:14:00,2025-05-17T02:14:00,2025-05-17T02:21:00
CMP_202600042,TYP_01,OTP / KYC Fraud,69438.96,West Bengal,Kolkata,2025-05-08T15:37:00,2025-05-08T17:37:00,2025-05-08T17:55:00
CMP_202600043,TYP_02,Fake Loan App,11836.8,Karnataka,District-34,2025-02-13T13:42:00,2025-02-17T12:42:00,2025-02-17T13:05:00
CMP_202600044,TYP_02,Fake Loan App,92830.18,Rajasthan,Bharatpur,2025-03-15T16:19:00,2025-03-15T18:19:00,2025-03-15T18:58:00
CMP_202600045,TYP_02,Fake Loan App,29286.11,Gujarat,District-31,2025-01-17T14:49:00,2025-01-18T00:49:00,2025-01-18T01:43:00
CMP_202600046,TYP_03,Part-Time Job Scam,269299.14,Rajasthan,District-46,2025-02-15T18:24:00,2025-02-15T20:24:00,2025-02-15T21:20:00
CMP_202600047,TYP_05,Sextortion,7666.91,Telangana,Hyderabad,2025-03-29T11:54:00,2025-03-29T13:54:00,2025-03-29T14:23:00
CMP_202600048,TYP_03,Part-Time Job Scam,62459.48,Rajasthan,District-46,2025-01-05T14:42:00,2025-01-06T07:42:00,2025-01-06T08:10:00
CMP_202600049,TYP_06,Marketplace / OLX Fraud,9639.76,Jharkhand,Deoghar,2025-06-01T10:08:00,2025-06-02T08:08:00,2025-06-02T08:43:00
CMP_202600050,TYP_02,Fake Loan App,14032.08,Gujarat,Ahmedabad,2025-03-18T11:42:00,2025-03-19T04:42:00,2025-03-19T04:55:00
CMP_202600051,TYP_03,Part-Time Job Scam,235116.08,Uttar Pradesh,Noida,2025-05-16T14:23:00,2025-05-16T16:23:00,2025-05-16T16:32:00
CMP_202600052,TYP_03,Part-Time Job Scam,363259.47,Haryana,Mewat,2025-02-05T15:59:00,2025-02-06T13:59:00,2025-02-06T14:37:00
CMP_202600053,TYP_01,OTP / KYC Fraud,22572.95,Rajasthan,Bharatpur,2025-04-14T11:48:00,2025-04-14T12:48:00,2025-04-14T12:55:00
CMP_202600054,TYP_01,OTP / KYC Fraud,32272.13,Jharkhand,Jamtara,2025-03-27T14:10:00,2025-03-27T19:10:00,2025-03-27T19:26:00
CMP_202600055,TYP_02,Fake Loan App,51019.42,West Bengal,District-66,2025-03-03T16:26:00,2025-03-03T18:26:00,2025-03-03T18:31:00
CMP_202600056,TYP_04,Investment / Crypto Scam,2351318.07,Gujarat,Ahmedabad,2025-04-21T17:13:00,2025-04-22T00:13:00,2025-04-22T00:57:00
CMP_202600057,TYP_05,Sextortion,26897.61,Haryana,District-75,2025-03-15T16:17:00,2025-03-15T17:17:00,2025-03-15T17:37:00
CMP_202600058,TYP_05,Sextortion,10002.59,Uttar Pradesh,Noida,2025-06-25T09:25:00,2025-06-25T18:25:00,2025-06-25T18:38:00
CMP_202600059,TYP_03,Part-Time Job Scam,97297.73,Kerala,District-48,2025-03-25T23:26:00,2025-03-26T03:26:00,2025-03-26T03:55:00
CMP_202600060,TYP_05,Sextortion,48045.05,Assam,District-21,2025-01-16T18:50:00,2025-01-17T03:50:00,2025-01-17T04:48:00
CMP_202600061,TYP_05,Sextortion,29133.7,Rajasthan,District-62,2025-02-26T18:28:00,2025-02-27T07:28:00,2025-02-27T07:41:00
CMP_202600062,TYP_03,Part-Time Job Scam,328612.2,Jharkhand,Deoghar,2025-03-10T18:46:00,2025-03-10T20:46:00,2025-03-10T21:14:00
CMP_202600063,TYP_01,OTP / KYC Fraud,10102.12,Gujarat,District-31,2025-03-14T17:16:00,2025-03-15T09:16:00,2025-03-15T10:12:00
CMP_202600064,TYP_02,Fake Loan App,11435.84,Andhra Pradesh,District-26,2025-06-10T15:25:00,2025-06-10T21:25:00,2025-06-10T22:12:00
CMP_202600065,TYP_02,Fake Loan App,6152.22,Andhra Pradesh,District-26,2025-03-04T15:20:00,2025-03-05T00:20:00,2025-03-05T00:27:00
CMP_202600066,TYP_06,Marketplace / OLX Fraud,7110.48,Chhattisgarh,District-57,2025-02-04T15:14:00,2025-02-04T18:14:00,2025-02-04T19:06:00
CMP_202600067,TYP_05,Sextortion,58400.25,Karnataka,District-61,2025-06-26T17:17:00,2025-06-26T19:17:00,2025-06-26T19:56:00
CMP_202600068,TYP_05,Sextortion,85022.48,Karnataka,District-74,2025-01-06T14:42:00,2025-01-07T11:42:00,2025-01-07T12:04:00
CMP_202600069,TYP_02,Fake Loan App,3989.86,Rajasthan,Alwar,2025-02-22T12:23:00,2025-02-22T20:23:00,2025-02-22T21:08:00
CMP_202600070,TYP_01,OTP / KYC Fraud,19849.17,Uttar Pradesh,Mathura,2025-01-22T13:48:00,2025-01-23T04:48:00,2025-01-23T05:03:00
CMP_202600071,TYP_02,Fake Loan App,68827.06,Assam,District-21,2025-06-02T11:34:00,2025-06-03T10:34:00,2025-06-03T11:21:00
CMP_202600072,TYP_02,Fake Loan App,19013.36,Assam,District-28,2025-01-06T14:12:00,2025-01-06T15:12:00,2025-01-06T15:42:00
CMP_202600073,TYP_03,Part-Time Job Scam,70830.26,Haryana,District-75,2025-02-04T07:03:00,2025-02-05T01:03:00,2025-02-05T01:41:00
CMP_202600074,TYP_04,Investment / Crypto Scam,645686.6,Karnataka,District-34,2025-03-08T15:21:00,2025-03-08T19:21:00,2025-03-08T20:01:00
CMP_202600075,TYP_03,Part-Time Job Scam,421316.74,Haryana,Mewat,2025-05-13T14:09:00,2025-05-13T17:09:00,2025-05-13T17:53:00
CMP_202600076,TYP_02,Fake Loan App,7490.23,Kerala,District-59,2025-02-12T11:43:00,2025-02-12T14:43:00,2025-02-12T15:05:00
CMP_202600077,TYP_03,Part-Time Job Scam,138863.66,Rajasthan,Bharatpur,2025-04-23T11:50:00,2025-04-24T10:50:00,2025-04-24T11:29:00
CMP_202600078,TYP_02,Fake Loan App,6300.02,Jharkhand,Deoghar,2025-05-10T12:41:00,2025-05-11T12:41:00,2025-05-11T13:04:00
CMP_202600079,TYP_06,Marketplace / OLX Fraud,4546.83,Gujarat,District-70,2025-05-03T19:18:00,2025-05-03T23:18:00,2025-05-03T23:54:00
CMP_202600080,TYP_03,Part-Time Job Scam,39675.02,West Bengal,Kolkata,2025-01-01T11:42:00,2025-01-01T16:42:00,2025-01-01T17:03:00
CMP_202600081,TYP_02,Fake Loan App,25488.59,Punjab,District-36,2025-05-16T10:09:00,2025-05-17T06:09:00,2025-05-17T06:39:00
CMP_202600082,TYP_02,Fake Loan App,7705.13,Maharashtra,Pune,2025-05-22T13:45:00,2025-05-23T05:45:00,2025-05-23T05:52:00
CMP_202600083,TYP_02,Fake Loan App,8285.14,West Bengal,District-35,2025-01-13T19:59:00,2025-01-13T21:59:00,2025-01-13T22:11:00
CMP_202600084,TYP_02,Fake Loan App,32063.74,Andhra Pradesh,District-64,2025-03-05T13:33:00,2025-03-07T12:33:00,2025-03-07T12:50:00
CMP_202600085,TYP_05,Sextortion,57908.63,Bihar,Purnia,2025-06-22T09:04:00,2025-06-22T17:04:00,2025-06-22T17:18:00
CMP_202600086,TYP_02,Fake Loan App,22652.85,Jharkhand,Jamtara,2025-04-29T10:55:00,2025-05-02T03:55:00,2025-05-02T04:02:00
CMP_202600087,TYP_02,Fake Loan App,17412.41,Maharashtra,Pune,2025-02-17T11:25:00,2025-02-19T11:25:00,2025-02-19T12:20:00
CMP_202600088,TYP_06,Marketplace / OLX Fraud,12144.67,Kerala,District-65,2025-05-13T05:11:00,2025-05-13T17:11:00,2025-05-13T18:09:00
CMP_202600089,TYP_04,Investment / Crypto Scam,342954.27,Gujarat,Ahmedabad,2025-06-22T06:44:00,2025-06-22T21:44:00,2025-06-22T22:10:00
CMP_202600090,TYP_05,Sextortion,40580.71,Uttar Pradesh,Gorakhpur,2025-01-27T15:05:00,2025-01-27T16:05:00,2025-01-27T16:16:00
CMP_202600091,TYP_04,Investment / Crypto Scam,549592.83,Andhra Pradesh,District-26,2025-05-07T11:13:00,2025-05-08T10:13:00,2025-05-08T10:26:00
CMP_202600092,TYP_01,OTP / KYC Fraud,13382.54,Andhra Pradesh,District-64,2025-03-25T12:24:00,2025-03-27T00:24:00,2025-03-27T00:35:00
CMP_202600093,TYP_05,Sextortion,47179.94,Karnataka,District-61,2025-06-13T19:44:00,2025-06-14T06:44:00,2025-06-14T07:20:00
CMP_202600094,TYP_05,Sextortion,153211.48,Haryana,District-29,2025-03-01T06:25:00,2025-03-02T09:25:00,2025-03-02T10:03:00
CMP_202600095,TYP_02,Fake Loan App,46733.14,Assam,District-28,2025-06-05T13:38:00,2025-06-05T22:38:00,2025-06-05T23:15:00
CMP_202600096,TYP_05,Sextortion,31610.38,Maharashtra,District-47,2025-06-11T19:01:00,2025-06-12T01:01:00,2025-06-12T01:55:00
CMP_202600097,TYP_05,Sextortion,35838.78,Andhra Pradesh,District-67,2025-02-22T17:23:00,2025-02-23T02:23:00,2025-02-23T02:52:00
CMP_202600098,TYP_04,Investment / Crypto Scam,1210225.08,Karnataka,District-56,2025-05-27T04:06:00,2025-05-27T08:06:00,2025-05-27T08:42:00
CMP_202600099,TYP_05,Sextortion,27301.75,Jharkhand,Deoghar,2025-03-03T11:19:00,2025-03-03T19:19:00,2025-03-03T19:59:00
CMP_202600100,TYP_06,Marketplace / OLX Fraud,6769.63,Assam,District-28,2025-03-01T15:41:00,2025-03-01T21:41:00,2025-03-01T22:09:00
CMP_202600101,TYP_02,Fake Loan App,13198.69,Uttar Pradesh,District-37,2025-05-27T17:11:00,2025-05-27T18:11:00,2025-05-27T18:17:00
CMP_202600102,TYP_02,Fake Loan App,4266.47,Haryana,Mewat,2025-05-14T10:18:00,2025-05-14T18:18:00,2025-05-14T18:32:00
CMP_202600103,TYP_02,Fake Loan App,12218.82,Odisha,District-73,2025-01-27T11:18:00,2025-01-28T03:18:00,2025-01-28T03:24:00
CMP_202600104,TYP_01,OTP / KYC Fraud,39077.43,Uttar Pradesh,Mathura,2025-02-17T21:53:00,2025-02-18T01:53:00,2025-02-18T02:47:00
CMP_202600105,TYP_04,Investment / Crypto Scam,280804.99,Karnataka,District-42,2025-06-21T07:42:00,2025-06-21T14:42:00,2025-06-21T15:25:00
CMP_202600106,TYP_01,OTP / KYC Fraud,59095.25,Uttar Pradesh,District-37,2025-01-01T14:57:00,2025-01-01T23:57:00,2025-01-02T00:24:00
CMP_202600107,TYP_02,Fake Loan App,4260.09,Tamil Nadu,District-49,2025-03-30T09:26:00,2025-03-30T15:26:00,2025-03-30T16:11:00
CMP_202600108,TYP_06,Marketplace / OLX Fraud,10373.79,Uttar Pradesh,Gorakhpur,2025-02-18T17:51:00,2025-02-18T19:51:00,2025-02-18T20:29:00
CMP_202600109,TYP_06,Marketplace / OLX Fraud,5304.56,Karnataka,Bengaluru Urban,2025-01-02T12:42:00,2025-01-02T13:42:00,2025-01-02T14:41:00
CMP_202600110,TYP_01,OTP / KYC Fraud,10143.96,Tamil Nadu,District-49,2025-05-16T18:03:00,2025-05-17T02:03:00,2025-05-17T02:47:00
CMP_202600111,TYP_03,Part-Time Job Scam,220448.15,Kerala,District-59,2025-04-15T17:49:00,2025-04-15T21:49:00,2025-04-15T22:05:00
CMP_202600112,TYP_05,Sextortion,79635.44,Chhattisgarh,District-57,2025-04-24T06:38:00,2025-04-24T14:38:00,2025-04-24T15:01:00
CMP_202600113,TYP_03,Part-Time Job Scam,154751.17,Karnataka,District-61,2025-04-09T16:59:00,2025-04-10T05:59:00,2025-04-10T06:07:00
CMP_202600114,TYP_02,Fake Loan App,16206.15,Delhi,South Delhi,2025-04-12T12:59:00,2025-04-12T18:59:00,2025-04-12T19:37:00
CMP_202600115,TYP_06,Marketplace / OLX Fraud,12664.58,Odisha,District-22,2025-02-21T10:22:00,2025-02-21T18:22:00,2025-02-21T18:52:00
CMP_202600116,TYP_03,Part-Time Job Scam,86834.34,Jharkhand,Jamtara,2025-06-04T11:10:00,2025-06-04T12:10:00,2025-06-04T12:15:00
CMP_202600117,TYP_05,Sextortion,175486.12,Rajasthan,Bharatpur,2025-04-21T13:17:00,2025-04-21T16:17:00,2025-04-21T16:40:00
CMP_202600118,TYP_04,Investment / Crypto Scam,271908.14,Gujarat,District-24,2025-01-20T12:00:00,2025-01-20T17:00:00,2025-01-20T17:58:00
CMP_202600119,TYP_02,Fake Loan App,7429.36,Maharashtra,District-30,2025-05-19T14:15:00,2025-05-20T01:15:00,2025-05-20T01:27:00
CMP_202600120,TYP_06,Marketplace / OLX Fraud,12677.73,Maharashtra,District-30,2025-05-27T19:48:00,2025-05-28T04:48:00,2025-05-28T05:21:00
CMP_202600121,TYP_03,Part-Time Job Scam,155405.86,Gujarat,District-31,2025-04-14T19:33:00,2025-04-15T21:33:00,2025-04-15T22:27:00
CMP_202600122,TYP_03,Part-Time Job Scam,78289.05,Karnataka,District-42,2025-06-22T11:10:00,2025-06-23T04:10:00,2025-06-23T04:20:00
CMP_202600123,TYP_03,Part-Time Job Scam,27111.58,Uttar Pradesh,Noida,2025-05-27T14:08:00,2025-05-27T21:08:00,2025-05-27T21:33:00
CMP_202600124,TYP_03,Part-Time Job Scam,158022.1,Maharashtra,District-30,2025-06-19T15:53:00,2025-06-19T18:53:00,2025-06-19T19:32:00
CMP_202600125,TYP_05,Sextortion,59501.38,Telangana,District-39,2025-06-05T22:21:00,2025-06-06T22:21:00,2025-06-06T23:20:00
CMP_202600126,TYP_06,Marketplace / OLX Fraud,11070.23,Chhattisgarh,District-57,2025-01-24T14:22:00,2025-01-25T23:22:00,2025-01-25T23:38:00
CMP_202600127,TYP_04,Investment / Crypto Scam,188911.89,Karnataka,District-74,2025-04-22T20:32:00,2025-04-22T21:32:00,2025-04-22T22:08:00
CMP_202600128,TYP_02,Fake Loan App,29666.7,Tamil Nadu,Chennai,2025-06-14T09:34:00,2025-06-15T16:34:00,2025-06-15T16:59:00
CMP_202600129,TYP_05,Sextortion,77802.45,Uttar Pradesh,District-43,2025-06-25T14:29:00,2025-06-25T16:29:00,2025-06-25T17:10:00
CMP_202600130,TYP_06,Marketplace / OLX Fraud,4173.99,Karnataka,District-74,2025-03-10T12:50:00,2025-03-10T17:50:00,2025-03-10T18:20:00
CMP_202600131,TYP_02,Fake Loan App,56937.61,Gujarat,District-50,2025-02-12T12:36:00,2025-02-13T02:36:00,2025-02-13T02:51:00
CMP_202600132,TYP_06,Marketplace / OLX Fraud,26132.83,Kerala,District-48,2025-01-27T16:14:00,2025-01-27T20:14:00,2025-01-27T21:14:00
CMP_202600133,TYP_02,Fake Loan App,45570.92,Jharkhand,District-72,2025-03-25T16:01:00,2025-03-27T05:01:00,2025-03-27T05:45:00
CMP_202600134,TYP_01,OTP / KYC Fraud,25928.09,Madhya Pradesh,District-40,2025-06-10T16:39:00,2025-06-11T06:39:00,2025-06-11T06:51:00
CMP_202600135,TYP_03,Part-Time Job Scam,140556.73,Haryana,District-75,2025-03-02T15:17:00,2025-03-03T03:17:00,2025-03-03T04:12:00
CMP_202600136,TYP_03,Part-Time Job Scam,419310.57,Karnataka,District-61,2025-05-15T09:06:00,2025-05-15T12:06:00,2025-05-15T12:26:00
CMP_202600137,TYP_03,Part-Time Job Scam,332137.11,Odisha,District-68,2025-02-01T14:44:00,2025-02-01T18:44:00,2025-02-01T19:26:00
CMP_202600138,TYP_05,Sextortion,87473.59,Odisha,District-54,2025-01-15T14:20:00,2025-01-15T19:20:00,2025-01-15T20:20:00
CMP_202600139,TYP_02,Fake Loan App,16706.81,West Bengal,District-55,2025-04-04T13:50:00,2025-04-04T15:50:00,2025-04-04T16:50:00
CMP_202600140,TYP_02,Fake Loan App,16759.52,Uttar Pradesh,District-43,2025-01-07T09:08:00,2025-01-07T12:08:00,2025-01-07T13:07:00
CMP_202600141,TYP_03,Part-Time Job Scam,213794.34,Haryana,Gurugram,2025-02-23T08:00:00,2025-02-23T22:00:00,2025-02-23T22:25:00
CMP_202600142,TYP_02,Fake Loan App,18549.08,Andhra Pradesh,District-67,2025-05-15T19:39:00,2025-05-16T02:39:00,2025-05-16T03:08:00
CMP_202600143,TYP_06,Marketplace / OLX Fraud,7262.2,Odisha,District-22,2025-04-05T13:18:00,2025-04-05T22:18:00,2025-04-05T22:36:00
CMP_202600144,TYP_02,Fake Loan App,20272.36,Uttar Pradesh,Gorakhpur,2025-06-15T10:00:00,2025-06-15T13:00:00,2025-06-15T13:45:00
CMP_202600145,TYP_03,Part-Time Job Scam,63075.54,Jharkhand,District-45,2025-01-07T15:34:00,2025-01-07T20:34:00,2025-01-07T20:49:00
CMP_202600146,TYP_06,Marketplace / OLX Fraud,6895.42,Uttar Pradesh,Gorakhpur,2025-06-08T10:05:00,2025-06-08T11:05:00,2025-06-08T11:42:00
CMP_202600147,TYP_04,Investment / Crypto Scam,3842259.43,Chhattisgarh,District-57,2025-01-31T16:41:00,2025-02-01T00:41:00,2025-02-01T01:16:00
CMP_202600148,TYP_04,Investment / Crypto Scam,619915.34,Telangana,Hyderabad,2025-03-25T09:11:00,2025-03-25T12:11:00,2025-03-25T12:27:00
CMP_202600149,TYP_04,Investment / Crypto Scam,275602.52,Odisha,District-27,2025-03-23T12:35:00,2025-03-23T23:35:00,2025-03-23T23:59:00
CMP_202600150,TYP_02,Fake Loan App,6402.41,Jharkhand,Deoghar,2025-02-16T13:57:00,2025-02-16T14:57:00,2025-02-16T15:30:00
CMP_202600151,TYP_02,Fake Loan App,17020.69,Karnataka,District-42,2025-02-05T08:37:00,2025-02-05T17:37:00,2025-02-05T18:17:00
CMP_202600152,TYP_02,Fake Loan App,60737.41,Kerala,District-48,2025-06-20T18:32:00,2025-06-20T21:32:00,2025-06-20T21:59:00
CMP_202600153,TYP_02,Fake Loan App,47954.6,Odisha,District-27,2025-05-27T20:57:00,2025-05-28T02:57:00,2025-05-28T03:57:00
CMP_202600154,TYP_05,Sextortion,18555.69,Rajasthan,District-62,2025-03-12T14:41:00,2025-03-12T23:41:00,2025-03-13T00:41:00
CMP_202600155,TYP_06,Marketplace / OLX Fraud,9615.85,Andhra Pradesh,District-64,2025-01-24T16:38:00,2025-01-31T14:38:00,2025-01-31T14:50:00
CMP_202600156,TYP_01,OTP / KYC Fraud,26580.11,Haryana,Mewat,2025-01-30T11:07:00,2025-01-30T12:07:00,2025-01-30T12:36:00
CMP_202600157,TYP_01,OTP / KYC Fraud,68193.31,Tamil Nadu,Chennai,2025-03-17T16:36:00,2025-03-18T04:36:00,2025-03-18T04:53:00
CMP_202600158,TYP_02,Fake Loan App,3264.26,Odisha,District-68,2025-02-05T15:59:00,2025-02-06T07:59:00,2025-02-06T08:25:00
CMP_202600159,TYP_06,Marketplace / OLX Fraud,2183.5,Haryana,Gurugram,2025-06-17T09:00:00,2025-06-17T17:00:00,2025-06-17T17:56:00
CMP_202600160,TYP_02,Fake Loan App,16060.47,Punjab,District-25,2025-04-19T20:59:00,2025-04-22T05:59:00,2025-04-22T06:26:00
CMP_202600161,TYP_02,Fake Loan App,14797.31,Karnataka,District-34,2025-01-20T16:56:00,2025-01-21T00:56:00,2025-01-21T01:48:00
CMP_202600162,TYP_01,OTP / KYC Fraud,26399.2,Gujarat,Ahmedabad,2025-04-24T18:46:00,2025-04-25T06:46:00,2025-04-25T07:37:00
CMP_202600163,TYP_02,Fake Loan App,25573.28,Andhra Pradesh,District-64,2025-05-25T12:58:00,2025-05-25T20:58:00,2025-05-25T21:52:00
CMP_202600164,TYP_03,Part-Time Job Scam,101330.19,Madhya Pradesh,District-60,2025-04-22T16:00:00,2025-04-23T02:00:00,2025-04-23T02:12:00
CMP_202600165,TYP_05,Sextortion,23323.17,Andhra Pradesh,District-58,2025-04-13T00:17:00,2025-04-13T14:17:00,2025-04-13T15:10:00
CMP_202600166,TYP_03,Part-Time Job Scam,153762.25,Rajasthan,Bharatpur,2025-06-21T08:23:00,2025-06-21T12:23:00,2025-06-21T12:56:00
CMP_202600167,TYP_06,Marketplace / OLX Fraud,4905.62,Maharashtra,District-47,2025-05-16T07:17:00,2025-05-16T18:17:00,2025-05-16T18:53:00
CMP_202600168,TYP_03,Part-Time Job Scam,843268.83,Karnataka,District-56,2025-02-16T07:22:00,2025-02-17T08:22:00,2025-02-17T09:01:00
CMP_202600169,TYP_06,Marketplace / OLX Fraud,7226.71,Chhattisgarh,District-57,2025-03-07T03:53:00,2025-03-08T06:53:00,2025-03-08T07:25:00
CMP_202600170,TYP_03,Part-Time Job Scam,138576.6,Delhi,South Delhi,2025-01-09T17:03:00,2025-01-09T23:03:00,2025-01-09T23:25:00
CMP_202600171,TYP_05,Sextortion,8241.17,Odisha,District-73,2025-06-29T11:54:00,2025-06-29T22:54:00,2025-06-29T23:44:00
CMP_202600172,TYP_05,Sextortion,12335.58,Haryana,District-29,2025-06-15T08:04:00,2025-06-15T11:04:00,2025-06-15T11:21:00
CMP_202600173,TYP_02,Fake Loan App,11023.41,Assam,District-28,2025-05-05T06:18:00,2025-05-07T13:18:00,2025-05-07T13:26:00
CMP_202600174,TYP_02,Fake Loan App,18432.4,Gujarat,District-24,2025-02-23T10:47:00,2025-02-23T16:47:00,2025-02-23T17:36:00
