hop_id,complaint_id,hop_sequence,from_account,to_account,amount_transferred,delay_minutes,timestamp
HOP_CMP_2026016_2,CMP_2026016,2,ACC_1104,ACC_1073,166875.03,4,2026-09-08T03:35:31.971575
HOP_CMP_2026017_1,CMP_2026017,1,ACC_1025,ACC_1092,478908.48,4,2026-09-06T07:30:31.971575
HOP_CMP_2026018_1,CMP_2026018,1,ACC_1087,ACC_1104,500099.52,6,2026-09-09T06:06:31.971575
HOP_CMP_2026018_2,CMP_2026018,2,ACC_1104,ACC_1024,480095.54,4,2026-09-09T06:10:31.971575
HOP_CMP_2026019_1,CMP_2026019,1,ACC_1076,ACC_1062,84672.96,9,2026-09-08T03:43:31.971575
HOP_CMP_2026019_2,CMP_2026019,2,ACC_1062,ACC_1093,81286.04,4,2026-09-08T03:47:31.971575
HOP_CMP_2026020_1,CMP_2026020,1,ACC_1108,ACC_1091,314935.68,7,2026-09-12T04:29:31.971575
HOP_CMP_2026020_2,CMP_2026020,2,ACC_1091,ACC_1025,302338.25,13,2026-09-12T04:42:31.971575
HOP_CMP_2026020_3,CMP_2026020,3,ACC_1025,ACC_1086,290244.72,4,2026-09-12T04:46:31.971575
HOP_CMP_2026021_1,CMP_2026021,1,ACC_1101,ACC_1067,349044.48,5,2026-09-10T04:38:31.971575
HOP_CMP_2026021_2,CMP_2026021,2,ACC_1067,ACC_1087,335082.7,5,2026-09-10T04:43:31.971575
HOP_CMP_2026021_3,CMP_2026021,3,ACC_1087,ACC_1057,321679.39,15,2026-09-10T04:58:31.971575
HOP_CMP_2026022_1,CMP_2026022,1,ACC_1073,ACC_1006,249510.72,5,2026-09-12T07:39:31.971575
HOP_CMP_2026022_2,CMP_2026022,2,ACC_1006,ACC_1055,239530.29,5,2026-09-12T07:44:31.971575
HOP_CMP_2026023_1,CMP_2026023,1,ACC_1021,ACC_1093,167513.28,6,2026-09-09T00:53:31.971575
HOP_CMP_2026023_2,CMP_2026023,2,ACC_1093,ACC_1109,160812.75,6,2026-09-09T00:59:31.971575
HOP_CMP_2026024_1,CMP_2026024,1,ACC_1087,ACC_1002,114772.8,4,2026-09-09T23:47:31.971575
HOP_CMP_2026024_2,CMP_2026024,2,ACC_1002,ACC_1024,110181.89,7,2026-09-09T23:54:31.971575
HOP_CMP_2026025_1,CMP_2026025,1,ACC_1062,ACC_1115,487004.16,12,2026-09-12T03:13:31.971575
HOP_CMP_2026026_1,CMP_2026026,1,ACC_1116,ACC_1091,551561.28,7,2026-09-09T11:12:31.971575
HOP_CMP_2026026_2,CMP_2026026,2,ACC_1091,ACC_1101,529498.83,7,2026-09-09T11:19:31.971575
HOP_CMP_2026026_3,CMP_2026026,3,ACC_1101,ACC_1005,508318.88,3,2026-09-09T11:22:31.971575
HOP_CMP_2026027_1,CMP_2026027,1,ACC_1014,ACC_1081,303684.48,4,2026-09-07T09:36:31.971575
HOP_CMP_2026027_2,CMP_2026027,2,ACC_1081,ACC_1015,291537.1,4,2026-09-07T09:40:31.971575
HOP_CMP_2026028_1,CMP_2026028,1,ACC_1057,ACC_1008,315851.52,6,2026-09-06T07:53:31.971575
HOP_CMP_2026028_2,CMP_2026028,2,ACC_1008,ACC_1051,303217.46,3,2026-09-06T07:56:31.971575
HOP_CMP_2026029_1,CMP_2026029,1,ACC_1073,ACC_1106,160934.4,4,2026-09-07T06:22:31.971575
HOP_CMP_2026029_2,CMP_2026029,2,ACC_1106,ACC_1032,154497.02,8,2026-09-07T06:30:31.971575
HOP_CMP_2026030_1,CMP_2026030,1,ACC_1042,ACC_1092,399480.96,8,2026-09-10T13:36:31.971575
HOP_CMP_2026031_1,CMP_2026031,1,ACC_1087,ACC_1044,478608.0,13,2026-09-11T03:14:31.971575
HOP_CMP_2026031_2,CMP_2026031,2,ACC_1044,ACC_1002,459463.68,9,2026-09-11T03:23:31.971575
HOP_CMP_2026032_1,CMP_2026032,1,ACC_1109,ACC_1053,88751.04,12,2026-09-09T10:19:31.971575
HOP_CMP_2026032_2,CMP_2026032,2,ACC_1053,ACC_1117,85201.0,6,2026-09-09T10:25:31.971575
HOP_CMP_2026033_1,CMP_2026033,1,ACC_1090,ACC_1016,318525.12,5,2026-09-07T10:14:31.971575
HOP_CMP_2026033_2,CMP_2026033,2,ACC_1016,ACC_1042,305784.12,3,2026-09-07T10:17:31.971575
HOP_CMP_2026034_1,CMP_2026034,1,ACC_1070,ACC_1047,311588.16,8,2026-09-06T09:46:31.971575
HOP_CMP_2026034_2,CMP_2026034,2,ACC_1047,ACC_1002,299124.63,4,2026-09-06T09:50:31.971575
HOP_CMP_2026034_3,CMP_2026034,3,ACC_1002,ACC_1106,287159.65,4,2026-09-06T09:54:31.971575
HOP_CMP_2026035_1,CMP_2026035,1,ACC_1064,ACC_1040,246044.16,3,2026-09-10T05:39:31.971575
HOP_CMP_2026035_2,CMP_2026035,2,ACC_1040,ACC_1117,236202.39,7,2026-09-10T05:46:31.971575
HOP_CMP_2026035_3,CMP_2026035,3,ACC_1117,ACC_1033,226754.3,4,2026-09-10T05:50:31.971575
HOP_CMP_2026036_1,CMP_2026036,1,ACC_1006,ACC_1054,112207.68,6,2026-09-11T06:32:31.971575
HOP_CMP_2026036_2,CMP_2026036,2,ACC_1054,ACC_1085,107719.37,3,2026-09-11T06:35:31.971575
HOP_CMP_2026037_1,CMP_2026037,1,ACC_1076,ACC_1029,105130.56,3,2026-09-08T06:08:31.971575
HOP_CMP_2026037_2,CMP_2026037,2,ACC_1029,ACC_1034,100925.34,5,2026-09-08T06:13:31.971575
HOP_CMP_2026038_1,CMP_2026038,1,ACC_1090,ACC_1051,180035.52,5,2026-09-07T18:48:31.971575
HOP_CMP_2026038_2,CMP_2026038,2,ACC_1051,ACC_1062,172834.1,8,2026-09-07T18:56:31.971575
HOP_CMP_2026038_3,CMP_2026038,3,ACC_1062,ACC_1018,165920.74,6,2026-09-07T19:02:31.971575
HOP_CMP_2026039_1,CMP_2026039,1,ACC_1070,ACC_1105,241511.04,3,2026-09-12T02:31:31.971575
HOP_CMP_2026039_2,CMP_2026039,2,ACC_1105,ACC_1065,231850.6,10,2026-09-12T02:41:31.971575
HOP_CMP_2026040_1,CMP_2026040,1,ACC_1087,ACC_1066,280611.84,8,2026-09-10T08:00:31.971575
HOP_CMP_2026041_1,CMP_2026041,1,ACC_1089,ACC_1004,123464.64,10,2026-09-11T02:09:31.971575
HOP_CMP_2026041_2,CMP_2026041,2,ACC_1004,ACC_1115,118526.05,4,2026-09-11T02:13:31.971575
HOP_CMP_2026041_3,CMP_2026041,3,ACC_1115,ACC_1105,113785.01,3,2026-09-11T02:16:31.971575
HOP_CMP_2026042_1,CMP_2026042,1,ACC_1073,ACC_1018,481746.24,3,2026-09-11T03:07:31.971575
HOP_CMP_2026043_1,CMP_2026043,1,ACC_1015,ACC_1042,320783.04,10,2026-09-09T05:02:31.971575
HOP_CMP_2026044_1,CMP_2026044,1,ACC_1101,ACC_1076,471051.84,5,2026-09-08T05:32:31.971575
HOP_CMP_2026044_2,CMP_2026044,2,ACC_1076,ACC_1109,452209.77,5,2026-09-08T05:37:31.971575
HOP_CMP_2026045_1,CMP_2026045,1,ACC_1047,ACC_1005,506992.32,6,2026-09-10T07:17:31.971575
HOP_CMP_2026046_1,CMP_2026046,1,ACC_1065,ACC_1015,462045.12,6,2026-09-06T23:45:31.971575
HOP_CMP_2026046_2,CMP_2026046,2,ACC_1015,ACC_1066,443563.32,12,2026-09-06T23:57:31.971575
HOP_CMP_2026047_1,CMP_2026047,1,ACC_1020,ACC_1087,415179.84,6,2026-09-08T12:03:31.971575
HOP_CMP_2026048_1,CMP_2026048,1,ACC_1043,ACC_1021,65313.6,4,2026-09-12T03:10:31.971575
HOP_CMP_2026049_1,CMP_2026049,1,ACC_1037,ACC_1041,572282.88,3,2026-09-07T08:25:31.971575
HOP_CMP_2026050_1,CMP_2026050,1,ACC_1021,ACC_1101,293513.28,4,2026-09-12T05:58:31.971575
HOP_CMP_2026051_1,CMP_2026051,1,ACC_1064,ACC_1042,40350.72,8,2026-09-07T06:53:31.971575
HOP_CMP_2026052_1,CMP_2026052,1,ACC_1021,ACC_1076,189801.6,16,2026-09-08T05:04:31.971575
HOP_CMP_2026053_1,CMP_2026053,1,ACC_1065,ACC_1096,493804.8,7,2026-09-09T01:41:31.971575
HOP_CMP_2026054_1,CMP_2026054,1,ACC_1006,ACC_1098,521580.48,9,2026-09-07T07:33:31.971575
HOP_CMP_2026054_2,CMP_2026054,2,ACC_1098,ACC_1053,500717.26,6,2026-09-07T07:39:31.971575
HOP_CMP_2026055_1,CMP_2026055,1,ACC_1077,ACC_1016,496558.08,11,2026-09-12T10:21:31.971575
HOP_CMP_2026056_1,CMP_2026056,1,ACC_1024,ACC_1010,95725.44,9,2026-09-08T10:32:31.971575
HOP_CMP_2026057_1,CMP_2026057,1,ACC_1051,ACC_1087,397830.72,3,2026-09-10T08:21:31.971575
HOP_CMP_2026057_2,CMP_2026057,2,ACC_1087,ACC_1093,381917.49,4,2026-09-10T08:25:31.971575
HOP_CMP_2026057_3,CMP_2026057,3,ACC_1093,ACC_1111,366640.79,2,2026-09-10T08:27:31.971575
HOP_CMP_2026058_1,CMP_2026058,1,ACC_1037,ACC_1081,569391.36,3,2026-09-11T01:43:31.971575
HOP_CMP_2026059_1,CMP_2026059,1,ACC_1072,ACC_1076,355579.2,6,2026-09-12T11:20:31.971575
HOP_CMP_2026059_2,CMP_2026059,2,ACC_1076,ACC_1015,341356.03,5,2026-09-12T11:25:31.971575
HOP_CMP_2026060_1,CMP_2026060,1,ACC_1089,ACC_1010,270980.16,4,2026-09-07T23:58:31.971575
HOP_CMP_2026060_2,CMP_2026060,2,ACC_1010,ACC_1014,260140.95,5,2026-09-08T00:03:31.971575
HOP_CMP_2026060_3,CMP_2026060,3,ACC_1014,ACC_1012,249735.32,3,2026-09-08T00:06:31.971575
