account_id,bank_name,is_mule,entity_id,times_flagged,initial_risk_score
ACC_1081,ICICI,True,ENT_01,10,0.85
ACC_1082,Kotak,False,,0,0.05
ACC_1083,SBI,False,,0,0.05
ACC_1084,Paytm PB,False,,0,0.05
ACC_1085,Kotak,True,ENT_08,6,0.82
ACC_1086,ICICI,True,ENT_12,14,0.67
ACC_1087,Kotak,True,ENT_12,6,0.9
ACC_1088,HDFC,True,ENT_05,3,0.96
ACC_1089,Axis,True,ENT_07,9,0.63
ACC_1090,SBI,True,ENT_11,6,0.87
ACC_1091,Paytm PB,True,ENT_11,6,0.91
ACC_1092,ICICI,True,ENT_01,16,0.86
ACC_1093,ICICI,True,ENT_11,3,0.93
ACC_1094,HDFC,False,,1,0.05
ACC_1095,Kotak,False,,1,0.05
ACC_1096,SBI,True,ENT_07,11,0.84
ACC_1097,Axis,False,,1,0.05
ACC_1098,Paytm PB,True,ENT_12,11,0.73
ACC_1099,ICICI,True,ENT_02,17,0.7
ACC_1100,Kotak,True,ENT_10,15,0.73
ACC_1101,SBI,True,ENT_06,18,0.68
ACC_1102,ICICI,False,,1,0.05
ACC_1103,Kotak,False,,1,0.05
ACC_1104,SBI,True,ENT_09,5,0.69
ACC_1105,SBI,True,ENT_09,18,0.85
ACC_1106,HDFC,True,ENT_13,5,0.71
ACC_1107,ICICI,True,ENT_04,14,0.78
ACC_1108,Kotak,True,ENT_07,13,0.74
ACC_1109,ICICI,True,ENT_05,10,0.65
ACC_1110,Kotak,True,ENT_02,8,0.67
ACC_1111,Kotak,True,ENT_05,12,0.98
ACC_1112,ICICI,False,,0,0.05
ACC_1113,HDFC,True,ENT_05,7,0.71
ACC_1114,Paytm PB,False,,1,0.05
ACC_1115,Kotak,True,ENT_03,18,0.64
ACC_1116,Axis,True,ENT_05,18,0.77
ACC_1117,ICICI,True,ENT_01,18,0.64
ACC_1118,HDFC,True,ENT_08,4,0.66
ACC_1119,ICICI,False,,0,0.05
ACC_1120,HDFC,False,,1,0.05
