location_id,zone_id,type,bank_name,lat,lng,risk_level
ATM_042,Z11,ATM,ICICI,14.729319,43.786164,LOW
ATM_043,Z11,ATM,Axis,14.708869,43.786312,HIGH
ATM_044,Z11,Micro-ATM / CSP,ICICI,14.724288,43.79374,HIGH
ATM_045,Z12,Micro-ATM / CSP,HDFC,-75.534038,125.258391,MEDIUM
ATM_046,Z12,Micro-ATM / CSP,SBI,-75.528432,125.262464,HIGH
ATM_047,Z12,PoS Terminal,SBI,-75.535579,125.250869,HIGH
ATM_048,Z12,Micro-ATM / CSP,ICICI,-75.532807,125.24071,LOW
ATM_049,Z13,ATM,HDFC,-14.314351,136.503435,MEDIUM
ATM_050,Z13,PoS Terminal,SBI,-14.316954,136.499002,HIGH
ATM_051,Z13,ATM,HDFC,-14.329659,136.497338,HIGH
ATM_052,Z13,Micro-ATM / CSP,Axis,-14.320065,136.493924,HIGH
ATM_053,Z14,Micro-ATM / CSP,SBI,-58.885743,-15.711086,HIGH
ATM_054,Z14,Micro-ATM / CSP,Axis,-58.867429,-15.713139,HIGH
ATM_055,Z14,PoS Terminal,Axis,-58.881996,-15.715366,HIGH
ATM_056,Z14,Micro-ATM / CSP,SBI,-58.901462,-15.714937,MEDIUM
ATM_057,Z15,PoS Terminal,ICICI,64.582439,-87.997768,LOW
ATM_058,Z15,Micro-ATM / CSP,Axis,64.580179,-88.017103,HIGH
ATM_059,Z15,ATM,SBI,64.58159,-88.030253,HIGH
ATM_060,Z15,PoS Terminal,HDFC,64.592122,-88.013075,HIGH
ATM_061,Z16,Micro-ATM / CSP,SBI,44.193275,-137.143734,HIGH
ATM_062,Z16,ATM,HDFC,44.198747,-137.148139,HIGH
ATM_063,Z16,ATM,HDFC,44.191449,-137.116008,MEDIUM
ATM_064,Z16,ATM,SBI,44.17734,-137.140665,MEDIUM
ATM_065,Z17,Micro-ATM / CSP,Axis,-75.366209,102.152897,HIGH
ATM_066,Z17,Micro-ATM / CSP,SBI,-75.38097,102.158013,LOW
ATM_067,Z17,ATM,Axis,-75.376602,102.161636,LOW
ATM_068,Z17,ATM,HDFC,-75.375324,102.171263,HIGH
ATM_069,Z18,Micro-ATM / CSP,Axis,44.576694,8.535819,MEDIUM
ATM_070,Z18,PoS Terminal,Axis,44.590976,8.527691,LOW
ATM_071,Z18,Micro-ATM / CSP,HDFC,44.585734,8.550391,HIGH
ATM_072,Z18,ATM,Axis,44.569322,8.540351,MEDIUM
ATM_073,Z19,ATM,SBI,82.578524,32.575393,HIGH
ATM_074,Z19,ATM,Axis,82.565136,32.556589,HIGH
ATM_075,Z19,PoS Terminal,SBI,82.580868,32.571056,MEDIUM
ATM_076,Z19,PoS Terminal,SBI,82.57844,32.571499,HIGH
ATM_077,Z20,PoS Terminal,HDFC,55.254018,99.169177,HIGH
ATM_078,Z20,Micro-ATM / CSP,HDFC,55.262721,99.160711,HIGH
ATM_079,Z20,ATM,SBI,55.276788,99.171338,LOW
ATM_080,Z20,PoS Terminal,Axis,55.249445,99.172972,HIGH
