cashout_id,complaint_id,final_account,zone_id,location_id,lat,lng,timestamp,status
CSH_CMP_2026026,CMP_2026026,ACC_1005,Z20,ATM_078,55.262721,99.160711,2026-09-09T11:30:31.971575,COMPLETED
CSH_CMP_2026027,CMP_2026027,ACC_1015,Z04,ATM_013,31.629131,74.873292,2026-09-07T09:47:31.971575,INTERCEPTED
CSH_CMP_2026028,CMP_2026028,ACC_1051,Z12,ATM_048,-75.532807,125.24071,2026-09-06T08:09:31.971575,INTERCEPTED
CSH_CMP_2026029,CMP_2026029,ACC_1032,Z06,ATM_022,-33.834534,76.481807,2026-09-07T06:39:31.971575,COMPLETED
CSH_CMP_2026030,CMP_2026030,ACC_1092,Z19,ATM_073,82.578524,32.575393,2026-09-10T13:44:31.971575,COMPLETED
CSH_CMP_2026031,CMP_2026031,ACC_1002,Z15,ATM_058,64.580179,-88.017103,2026-09-11T03:30:31.971575,INTERCEPTED
CSH_CMP_2026032,CMP_2026032,ACC_1117,Z14,ATM_056,-58.901462,-15.714937,2026-09-09T10:35:31.971575,INTERCEPTED
CSH_CMP_2026033,CMP_2026033,ACC_1042,Z13,ATM_051,-14.329659,136.497338,2026-09-07T10:26:31.971575,INTERCEPTED
CSH_CMP_2026034,CMP_2026034,ACC_1106,Z02,ATM_006,23.958355,86.797934,2026-09-06T10:09:31.971575,INTERCEPTED
CSH_CMP_2026035,CMP_2026035,ACC_1033,Z20,ATM_079,55.276788,99.171338,2026-09-10T05:56:31.971575,INTERCEPTED
CSH_CMP_2026036,CMP_2026036,ACC_1085,Z02,ATM_006,23.958355,86.797934,2026-09-11T06:43:31.971575,INTERCEPTED
CSH_CMP_2026037,CMP_2026037,ACC_1034,Z05,ATM_020,28.52362,77.242761,2026-09-08T06:21:31.971575,INTERCEPTED
CSH_CMP_2026038,CMP_2026038,ACC_1018,Z15,ATM_060,64.592122,-88.013075,2026-09-07T19:12:31.971575,COMPLETED
CSH_CMP_2026039,CMP_2026039,ACC_1065,Z03,ATM_010,30.892878,75.844668,2026-09-12T02:51:31.971575,INTERCEPTED
CSH_CMP_2026040,CMP_2026040,ACC_1066,Z09,ATM_033,-81.400833,-138.569169,2026-09-10T08:07:31.971575,INTERCEPTED
CSH_CMP_2026041,CMP_2026041,ACC_1105,Z11,ATM_041,14.714135,43.793994,2026-09-11T02:33:31.971575,COMPLETED
CSH_CMP_2026042,CMP_2026042,ACC_1018,Z05,ATM_019,28.537368,77.223472,2026-09-11T03:19:31.971575,COMPLETED
CSH_CMP_2026043,CMP_2026043,ACC_1042,Z18,ATM_069,44.576694,8.535819,2026-09-09T05:09:31.971575,COMPLETED
CSH_CMP_2026044,CMP_2026044,ACC_1109,Z05,ATM_018,28.542857,77.23008,2026-09-08T05:53:31.971575,INTERCEPTED
CSH_CMP_2026045,CMP_2026045,ACC_1005,Z12,ATM_046,-75.528432,125.262464,2026-09-10T07:27:31.971575,COMPLETED
CSH_CMP_2026046,CMP_2026046,ACC_1066,Z18,ATM_071,44.585734,8.550391,2026-09-07T00:13:31.971575,INTERCEPTED
CSH_CMP_2026047,CMP_2026047,ACC_1087,Z03,ATM_012,30.901604,75.844557,2026-09-08T12:11:31.971575,COMPLETED
CSH_CMP_2026048,CMP_2026048,ACC_1021,Z19,ATM_075,82.580868,32.571056,2026-09-12T03:22:31.971575,COMPLETED
CSH_CMP_2026049,CMP_2026049,ACC_1041,Z11,ATM_041,14.714135,43.793994,2026-09-07T08:35:31.971575,COMPLETED
CSH_CMP_2026050,CMP_2026050,ACC_1101,Z09,ATM_033,-81.400833,-138.569169,2026-09-12T06:08:31.971575,COMPLETED
CSH_CMP_2026051,CMP_2026051,ACC_1042,Z19,ATM_076,82.57844,32.571499,2026-09-07T07:01:31.971575,INTERCEPTED
CSH_CMP_2026052,CMP_2026052,ACC_1076,Z17,ATM_067,-75.376602,102.161636,2026-09-08T05:12:31.971575,COMPLETED
CSH_CMP_2026053,CMP_2026053,ACC_1096,Z19,ATM_073,82.578524,32.575393,2026-09-09T01:58:31.971575,COMPLETED
CSH_CMP_2026054,CMP_2026054,ACC_1053,Z15,ATM_059,64.58159,-88.030253,2026-09-07T07:48:31.971575,COMPLETED
CSH_CMP_2026055,CMP_2026055,ACC_1016,Z16,ATM_062,44.198747,-137.148139,2026-09-12T10:28:31.971575,INTERCEPTED
CSH_CMP_2026056,CMP_2026056,ACC_1010,Z05,ATM_019,28.537368,77.223472,2026-09-08T10:41:31.971575,INTERCEPTED
CSH_CMP_2026057,CMP_2026057,ACC_1111,Z14,ATM_054,-58.867429,-15.713139,2026-09-10T08:40:31.971575,COMPLETED
CSH_CMP_2026058,CMP_2026058,ACC_1081,Z15,ATM_058,64.580179,-88.017103,2026-09-11T01:54:31.971575,COMPLETED
CSH_CMP_2026059,CMP_2026059,ACC_1015,Z11,ATM_043,14.708869,43.786312,2026-09-12T11:33:31.971575,INTERCEPTED
CSH_CMP_2026060,CMP_2026060,ACC_1012,Z03,ATM_009,30.891941,75.860111,2026-09-08T00:15:31.971575,INTERCEPTED
