complaint_id,filed_time,fraud_type,amount,victim_district
CYB-2026-10048,2026-09-27T03:43:00,Job Fraud,25000,Chandigarh
CYB-2026-10049,2026-09-20T21:53:00,OTP Fraud,48000,Nagpur
CYB-2026-10050,2026-09-09T12:14:00,Investment Fraud,75000,Kochi
CYB-2026-10051,2026-09-15T23:06:00,Investment Fraud,5000,Patna
CYB-2026-10052,2026-09-08T10:59:00,Loan-App Fraud,25000,Indore
CYB-2026-10053,2026-09-24T09:49:00,Investment Fraud,25000,Bhopal
CYB-2026-10054,2026-09-27T15:25:00,Job Fraud,120000,Pune
CYB-2026-10055,2026-09-03T05:40:00,Romance Scam,48000,Kochi
CYB-2026-10056,2026-09-19T21:48:00,Loan-App Fraud,8000,Mumbai City
CYB-2026-10057,2026-09-29T23:23:00,Loan-App Fraud,25000,Chennai
CYB-2026-10058,2026-09-20T20:25:00,Investment Fraud,8000,Chennai
CYB-2026-10059,2026-09-21T08:29:00,OTP Fraud,48000,Surat
CYB-2026-10060,2026-09-14T17:10:00,Job Fraud,25000,Central Delhi
CYB-2026-10061,2026-09-29T12:10:00,Loan-App Fraud,25000,Pune
CYB-2026-10062,2026-09-09T05:50:00,Romance Scam,15000,Pune
CYB-2026-10063,2026-09-01T21:12:00,Romance Scam,25000,Indore
CYB-2026-10064,2026-09-16T04:16:00,Job Fraud,15000,Mumbai City
CYB-2026-10065,2026-09-25T20:02:00,SIM-Swap,75000,Surat
CYB-2026-10066,2026-09-21T10:17:00,Loan-App Fraud,120000,Chennai
CYB-2026-10067,2026-09-06T23:32:00,Loan-App Fraud,15000,Mumbai City
CYB-2026-10068,2026-09-02T10:09:00,OTP Fraud,8000,Central Delhi
CYB-2026-10069,2026-09-28T06:26:00,Job Fraud,5000,Chandigarh
CYB-2026-10070,2026-09-21T10:29:00,SIM-Swap,5000,Mumbai City
CYB-2026-10071,2026-09-05T18:19:00,Romance Scam,5000,Indore
CYB-2026-10072,2026-09-05T09:38:00,OTP Fraud,5000,Mumbai City
CYB-2026-10073,2026-09-28T13:48:00,Investment Fraud,25000,Ahmedabad
CYB-2026-10074,2026-09-29T04:11:00,Job Fraud,250000,Central Delhi
CYB-2026-10075,2026-09-30T01:35:00,SIM-Swap,2000,Mumbai City
CYB-2026-10076,2026-09-08T07:56:00,OTP Fraud,8000,Nagpur
CYB-2026-10077,2026-09-06T10:19:00,Job Fraud,48000,Bhopal
CYB-2026-10078,2026-09-01T14:23:00,OTP Fraud,15000,Jaipur
CYB-2026-10079,2026-09-18T13:17:00,Loan-App Fraud,250000,Chennai
CYB-2026-10080,2026-09-09T01:43:00,Investment Fraud,120000,Ahmedabad
CYB-2026-10081,2026-09-10T01:47:00,Job Fraud,48000,Ahmedabad
CYB-2026-10082,2026-09-27T14:56:00,Job Fraud,120000,Surat
CYB-2026-10083,2026-09-15T09:02:00,OTP Fraud,120000,Chandigarh
CYB-2026-10084,2026-09-03T02:48:00,SIM-Swap,120000,Surat
CYB-2026-10085,2026-09-09T02:28:00,SIM-Swap,2000,Chennai
CYB-2026-10086,2026-09-16T06:06:00,OTP Fraud,5000,Indore
CYB-2026-10087,2026-09-15T08:08:00,OTP Fraud,250000,Patna
CYB-2026-10088,2026-09-09T23:43:00,Romance Scam,15000,Pune
CYB-2026-10089,2026-09-21T04:03:00,Loan-App Fraud,2000,Bhopal
CYB-2026-10090,2026-09-21T07:14:00,Job Fraud,120000,Jaipur
CYB-2026-10091,2026-09-24T17:30:00,SIM-Swap,5000,Jaipur
CYB-2026-10092,2026-09-02T11:07:00,Investment Fraud,75000,South Delhi
CYB-2026-10093,2026-09-21T15:59:00,Romance Scam,2000,Mumbai City
CYB-2026-10094,2026-09-30T07:54:00,Romance Scam,120000,Mumbai City
CYB-2026-10095,2026-09-20T05:00:00,Job Fraud,8000,Mumbai City
CYB-2026-10096,2026-09-05T23:13:00,SIM-Swap,48000,Pune
CYB-2026-10097,2026-09-04T02:55:00,Loan-App Fraud,120000,South Delhi
CYB-2026-10098,2026-10-01T02:14:00,OTP Fraud,48000,Kolkata
CYB-2026-10099,2026-09-24T21:11:00,Investment Fraud,25000,Mumbai City
CYB-2026-10100,2026-09-04T15:57:00,OTP Fraud,75000,Ahmedabad
CYB-2026-10101,2026-09-27T01:34:00,Romance Scam,2000,Nagpur
CYB-2026-10102,2026-09-06T09:54:00,Loan-App Fraud,2000,Bengaluru Urban
CYB-2026-10103,2026-09-09T02:35:00,Romance Scam,120000,Mumbai City
CYB-2026-10104,2026-09-23T17:36:00,Loan-App Fraud,2000,Ahmedabad
CYB-2026-10105,2026-09-30T11:36:00,Investment Fraud,5000,Chandigarh
CYB-2026-10106,2026-09-11T12:16:00,SIM-Swap,48000,Guwahati
CYB-2026-10107,2026-09-28T04:24:00,Loan-App Fraud,8000,Bengaluru Urban
CYB-2026-10108,2026-09-14T10:23:00,Job Fraud,25000,Kochi
CYB-2026-10109,2026-09-10T12:50:00,Romance Scam,48000,Nagpur
CYB-2026-10110,2026-09-22T11:30:00,Loan-App Fraud,5000,Kolkata
CYB-2026-10111,2026-09-24T16:13:00,Romance Scam,120000,Kochi
CYB-2026-10112,2026-09-20T20:41:00,OTP Fraud,8000,Kolkata
CYB-2026-10113,2026-09-13T23:31:00,Job Fraud,5000,Pune
CYB-2026-10114,2026-09-03T01:58:00,Job Fraud,2000,South Delhi
CYB-2026-10115,2026-09-15T17:55:00,Job Fraud,8000,Patna
CYB-2026-10116,2026-09-29T21:19:00,SIM-Swap,2000,Nagpur
CYB-2026-10117,2026-09-02T16:29:00,Loan-App Fraud,5000,Hyderabad
CYB-2026-10118,2026-09-07T12:49:00,SIM-Swap,250000,Hyderabad
CYB-2026-10119,2026-09-30T12:39:00,SIM-Swap,25000,Nagpur
CYB-2026-10120,2026-09-13T16:41:00,Job Fraud,25000,Mumbai Suburban
CYB-2026-10121,2026-09-13T14:08:00,Job Fraud,250000,Kolkata
CYB-2026-10122,2026-09-22T17:59:00,Investment Fraud,5000,Pune
CYB-2026-10123,2026-09-02T22:44:00,SIM-Swap,8000,Bhopal
CYB-2026-10124,2026-09-28T16:23:00,Job Fraud,5000,Lucknow
CYB-2026-10125,2026-09-09T17:22:00,Investment Fraud,2000,Lucknow
CYB-2026-10126,2026-09-16T06:02:00,Investment Fraud,25000,Surat
CYB-2026-10127,2026-09-28T19:37:00,SIM-Swap,48000,Bhopal
CYB-2026-10128,2026-09-04T01:27:00,OTP Fraud,250000,Guwahati
CYB-2026-10129,2026-09-24T11:27:00,OTP Fraud,120000,South Delhi
CYB-2026-10130,2026-09-11T04:00:00,SIM-Swap,5000,South Delhi
CYB-2026-10131,2026-09-20T09:08:00,SIM-Swap,48000,Patna
CYB-2026-10132,2026-09-11T09:14:00,Loan-App Fraud,2000,Central Delhi
CYB-2026-10133,2026-09-29T05:39:00,Romance Scam,2000,Chennai
CYB-2026-10134,2026-09-07T15:03:00,OTP Fraud,250000,Jaipur
CYB-2026-10135,2026-09-11T07:26:00,Job Fraud,75000,Jaipur
CYB-2026-10136,2026-09-08T00:59:00,Romance Scam,25000,Patna
CYB-2026-10137,2026-09-12T07:15:00,Romance Scam,25000,Hyderabad
CYB-2026-10138,2026-09-15T01:09:00,Investment Fraud,2000,Hyderabad
CYB-2026-10139,2026-09-17T14:49:00,Investment Fraud,250000,Kochi
CYB-2026-10140,2026-09-27T04:21:00,Romance Scam,15000,Kochi
CYB-2026-10141,2026-09-25T02:17:00,OTP Fraud,2000,Mumbai City
CYB-2026-10142,2026-09-22T00:05:00,Job Fraud,48000,South Delhi
CYB-2026-10143,2026-09-20T20:18:00,SIM-Swap,8000,Mumbai Suburban
CYB-2026-10144,2026-09-22T03:20:00,Romance Scam,15000,Chennai
CYB-2026-10145,2026-09-16T07:50:00,SIM-Swap,5000,Guwahati
CYB-2026-10146,2026-09-09T09:54:00,OTP Fraud,48000,Central Delhi
CYB-2026-10147,2026-09-25T20:26:00,Romance Scam,48000,Patna
CYB-2026-10148,2026-09-23T13:52:00,Romance Scam,15000,Ahmedabad
CYB-2026-10149,2026-09-01T11:40:00,OTP Fraud,25000,Chandigarh
CYB-2026-10150,2026-09-18T18:46:00,Investment Fraud,2000,Jaipur
CYB-2026-10151,2026-09-12T16:55:00,Investment Fraud,15000,Kochi
CYB-2026-10152,2026-09-14T12:20:00,Investment Fraud,120000,Surat
CYB-2026-10153,2026-09-04T09:32:00,SIM-Swap,75000,Kochi
CYB-2026-10154,2026-09-23T01:27:00,Job Fraud,75000,Indore
CYB-2026-10155,2026-09-30T14:32:00,Job Fraud,75000,Lucknow
CYB-2026-10156,2026-09-08T02:39:00,Job Fraud,48000,Central Delhi
CYB-2026-10157,2026-09-21T20:11:00,Romance Scam,48000,Mumbai City
CYB-2026-10158,2026-09-11T19:14:00,Romance Scam,75000,Bengaluru Urban
CYB-2026-10159,2026-09-04T02:20:00,Investment Fraud,5000,Indore
CYB-2026-10160,2026-09-14T18:53:00,SIM-Swap,5000,Pune
CYB-2026-10161,2026-09-25T16:57:00,SIM-Swap,8000,Indore
CYB-2026-10162,2026-09-07T11:07:00,Romance Scam,15000,Patna
CYB-2026-10163,2026-09-26T06:26:00,Romance Scam,250000,Mumbai Suburban
CYB-2026-10164,2026-09-21T05:34:00,OTP Fraud,5000,Chennai
CYB-2026-10165,2026-09-10T16:02:00,Loan-App Fraud,2000,Surat
CYB-2026-10166,2026-09-07T06:56:00,Loan-App Fraud,15000,Pune
CYB-2026-10167,2026-09-21T22:38:00,Investment Fraud,120000,Lucknow
CYB-2026-10168,2026-09-03T08:10:00,OTP Fraud,5000,Chandigarh
CYB-2026-10169,2026-09-14T23:43:00,SIM-Swap,8000,Kolkata
CYB-2026-10170,2026-09-11T21:44:00,SIM-Swap,75000,Mumbai City
CYB-2026-10171,2026-09-06T17:43:00,Investment Fraud,75000,Pune
CYB-2026-10172,2026-09-10T22:42:00,SIM-Swap,8000,Bhopal
CYB-2026-10173,2026-09-05T02:01:00,SIM-Swap,15000,Indore
CYB-2026-10174,2026-09-03T17:36:00,SIM-Swap,15000,Kochi
CYB-2026-10175,2026-09-09T02:42:00,Job Fraud,120000,Mumbai City
CYB-2026-10176,2026-09-20T03:45:00,Job Fraud,75000,Patna
CYB-2026-10177,2026-09-25T15:52:00,Loan-App Fraud,48000,Patna
CYB-2026-10178,2026-09-09T05:51:00,SIM-Swap,5000,Central Delhi
CYB-2026-10179,2026-09-13T11:33:00,SIM-Swap,5000,Central Delhi
CYB-2026-10180,2026-09-17T23:36:00,Loan-App Fraud,8000,Kolkata
CYB-2026-10181,2026-09-09T09:28:00,Loan-App Fraud,2000,Indore
CYB-2026-10182,2026-09-03T08:09:00,Job Fraud,75000,Mumbai City
CYB-2026-10183,2026-09-22T08:43:00,Loan-App Fraud,48000,Surat
CYB-2026-10184,2026-09-01T07:35:00,Investment Fraud,75000,Jaipur
CYB-2026-10185,2026-09-27T16:21:00,OTP Fraud,5000,Guwahati
CYB-2026-10186,2026-09-19T03:12:00,Investment Fraud,48000,Lucknow
CYB-2026-10187,2026-09-05T08:45:00,OTP Fraud,8000,Jaipur
CYB-2026-10188,2026-09-13T02:10:00,Investment Fraud,8000,Central Delhi
CYB-2026-10189,2026-09-02T05:48:00,OTP Fraud,5000,Hyderabad
CYB-2026-10190,2026-09-09T02:45:00,Romance Scam,48000,Hyderabad
CYB-2026-10191,2026-09-18T16:21:00,Investment Fraud,8000,Bhopal
CYB-2026-10192,2026-09-09T10:24:00,Investment Fraud,2000,Lucknow
CYB-2026-10193,2026-09-17T13:53:00,Investment Fraud,2000,Ahmedabad
CYB-2026-10194,2026-09-03T23:03:00,Investment Fraud,2000,Pune
CYB-2026-10195,2026-09-29T04:20:00,Job Fraud,48000,Chennai
CYB-2026-10196,2026-09-29T01:47:00,Investment Fraud,15000,Surat
CYB-2026-10197,2026-09-04T08:02:00,SIM-Swap,48000,Kolkata
CYB-2026-10198,2026-09-26T02:24:00,Investment Fraud,75000,Mumbai Suburban
CYB-2026-10199,2026-09-16T15:07:00,OTP Fraud,120000,Central Delhi
CYB-2026-10200,2026-09-13T07:44:00,Job Fraud,25000,Jaipur
CYB-2026-10201,2026-09-29T16:45:00,SIM-Swap,120000,Hyderabad
CYB-2026-10202,2026-09-13T07:27:00,SIM-Swap,5000,Indore
CYB-2026-10203,2026-09-05T15:37:00,Loan-App Fraud,5000,Ahmedabad
CYB-2026-10204,2026-09-02T19:55:00,SIM-Swap,250000,Surat
CYB-2026-10205,2026-09-21T01:33:00,OTP Fraud,15000,Pune
CYB-2026-10206,2026-09-20T08:18:00,Job Fraud,5000,Bhopal
CYB-2026-10207,2026-09-19T22:48:00,Investment Fraud,25000,Patna
CYB-2026-10208,2026-09-05T17:16:00,Romance Scam,15000,Pune
CYB-2026-10209,2026-09-15T09:49:00,OTP Fraud,250000,Patna
CYB-2026-10210,2026-09-10T07:28:00,Investment Fraud,25000,Ahmedabad
CYB-2026-10211,2026-09-08T15:56:00,OTP Fraud,15000,Chennai
CYB-2026-10212,2026-09-11T10:24:00,OTP Fraud,25000,Nagpur
CYB-2026-10213,2026-09-19T07:47:00,Job Fraud,5000,Central Delhi
CYB-2026-10214,2026-09-30T21:34:00,SIM-Swap,25000,Hyderabad
CYB-2026-10215,2026-09-02T09:48:00,SIM-Swap,120000,Jaipur
CYB-2026-10216,2026-09-17T13:34:00,Romance Scam,250000,Jaipur
CYB-2026-10217,2026-09-17T10:03:00,Loan-App Fraud,15000,Jaipur
CYB-2026-10218,2026-09-06T16:52:00,Job Fraud,75000,Guwahati
CYB-2026-10219,2026-09-04T22:16:00,Loan-App Fraud,120000,Lucknow
CYB-2026-10220,2026-09-30T01:56:00,Romance Scam,75000,Patna
CYB-2026-10221,2026-09-12T13:46:00,SIM-Swap,15000,Ahmedabad
CYB-2026-10222,2026-09-20T23:40:00,Investment Fraud,8000,Lucknow
CYB-2026-10223,2026-09-03T10:23:00,Job Fraud,5000,Central Delhi
CYB-2026-10224,2026-09-29T22:28:00,SIM-Swap,2000,Jaipur
CYB-2026-10225,2026-09-23T21:39:00,OTP Fraud,15000,Nagpur
CYB-2026-10226,2026-09-23T03:00:00,Loan-App Fraud,48000,Chennai
CYB-2026-10227,2026-09-12T21:30:00,OTP Fraud,15000,Chandigarh
CYB-2026-10228,2026-09-01T16:33:00,OTP Fraud,8000,Bengaluru Urban
CYB-2026-10229,2026-09-18T19:18:00,Investment Fraud,120000,Bhopal
CYB-2026-10230,2026-09-03T08:12:00,Romance Scam,5000,Kolkata
CYB-2026-10231,2026-09-03T17:36:00,Job Fraud,2000,Bengaluru Urban
CYB-2026-10232,2026-09-04T20:06:00,Loan-App Fraud,120000,Chandigarh
CYB-2026-10233,2026-09-22T00:18:00,SIM-Swap,48000,Ahmedabad
CYB-2026-10234,2026-09-21T20:17:00,SIM-Swap,5000,Mumbai Suburban
CYB-2026-10235,2026-09-07T15:24:00,Romance Scam,75000,Mumbai Suburban
CYB-2026-10236,2026-09-06T20:35:00,Job Fraud,120000,Chandigarh
CYB-2026-10237,2026-09-18T21:09:00,OTP Fraud,48000,Guwahati
CYB-2026-10238,2026-09-24T13:33:00,SIM-Swap,25000,Indore
CYB-2026-10239,2026-09-15T22:07:00,SIM-Swap,5000,Ahmedabad
CYB-2026-10240,2026-09-07T20:44:00,Romance Scam,2000,South Delhi
CYB-2026-10241,2026-09-05T21:56:00,Romance Scam,250000,Chennai
CYB-2026-10242,2026-09-11T12:21:00,Romance Scam,48000,Surat
CYB-2026-10243,2026-09-08T07:05:00,Romance Scam,2000,Pune
CYB-2026-10244,2026-09-25T16:35:00,Job Fraud,75000,Mumbai City
CYB-2026-10245,2026-09-01T15:36:00,SIM-Swap,5000,Ahmedabad
CYB-2026-10246,2026-09-24T18:33:00,OTP Fraud,48000,Guwahati
CYB-2026-10247,2026-09-20T13:20:00,Loan-App Fraud,5000,Hyderabad
CYB-2026-10248,2026-09-13T00:30:00,Loan-App Fraud,75000,Patna
CYB-2026-10249,2026-09-14T10:34:00,OTP Fraud,25000,Nagpur
CYB-2026-10250,2026-09-19T01:04:00,SIM-Swap,250000,Jaipur
CYB-2026-10251,2026-09-28T09:42:00,Job Fraud,75000,Indore
CYB-2026-10252,2026-09-27T01:38:00,Loan-App Fraud,2000,Indore
CYB-2026-10253,2026-09-10T01:21:00,OTP Fraud,48000,Kochi
CYB-2026-10254,2026-09-30T09:57:00,Loan-App Fraud,75000,Kolkata
CYB-2026-10255,2026-09-25T18:18:00,Loan-App Fraud,15000,Kolkata
CYB-2026-10256,2026-09-26T08:29:00,OTP Fraud,25000,Indore
CYB-2026-10257,2026-09-29T04:41:00,Loan-App Fraud,8000,Guwahati
CYB-2026-10258,2026-09-10T15:51:00,OTP Fraud,250000,Ahmedabad
CYB-2026-10259,2026-09-17T21:00:00,Romance Scam,5000,Guwahati
CYB-2026-10260,2026-09-14T00:43:00,SIM-Swap,15000,Pune
CYB-2026-10261,2026-09-23T00:59:00,SIM-Swap,120000,Hyderabad
CYB-2026-10262,2026-09-27T07:04:00,OTP Fraud,8000,South Delhi
CYB-2026-10263,2026-09-23T04:06:00,Romance Scam,8000,Chennai
CYB-2026-10264,2026-09-02T00:05:00,OTP Fraud,15000,Guwahati
CYB-2026-10265,2026-09-28T17:09:00,Loan-App Fraud,250000,Central Delhi
CYB-2026-10266,2026-09-22T23:09:00,Investment Fraud,15000,Mumbai City
CYB-2026-10267,2026-09-25T15:34:00,Investment Fraud,75000,Surat
CYB-2026-10268,2026-09-08T14:43:00,Romance Scam,5000,Hyderabad
CYB-2026-10269,2026-09-18T17:47:00,SIM-Swap,75000,Nagpur
CYB-2026-10270,2026-09-14T06:23:00,Job Fraud,15000,South Delhi
CYB-2026-10271,2026-09-27T22:09:00,Romance Scam,15000,Guwahati
CYB-2026-10272,2026-09-27T09:57:00,Romance Scam,2000,Kolkata
CYB-2026-10273,2026-09-23T06:15:00,Job Fraud,15000,Lucknow
CYB-2026-10274,2026-09-25T15:04:00,Job Fraud,2000,Kolkata
CYB-2026-10275,2026-09-13T11:54:00,Job Fraud,8000,Hyderabad
CYB-2026-10276,2026-09-04T19:43:00,OTP Fraud,120000,Nagpur
CYB-2026-10277,2026-09-09T13:44:00,Romance Scam,250000,Kolkata
CYB-2026-10278,2026-09-10T20:11:00,OTP Fraud,75000,Surat
CYB-2026-10279,2026-09-17T21:41:00,Investment Fraud,8000,Kochi
CYB-2026-10280,2026-09-07T21:18:00,Loan-App Fraud,8000,Kochi
CYB-2026-10281,2026-09-08T16:24:00,OTP Fraud,2000,Hyderabad
CYB-2026-10282,2026-09-28T19:27:00,SIM-Swap,15000,Surat
CYB-2026-10283,2026-09-18T14:13:00,OTP Fraud,25000,Chandigarh
CYB-2026-10284,2026-09-15T16:06:00,Investment Fraud,25000,Kolkata
CYB-2026-10285,2026-09-22T18:50:00,OTP Fraud,250000,South Delhi
CYB-2026-10286,2026-09-14T04:23:00,SIM-Swap,120000,Pune
CYB-2026-10287,2026-09-13T15:32:00,Job Fraud,250000,Chandigarh
CYB-2026-10288,2026-09-25T01:45:00,Romance Scam,250000,Jaipur
CYB-2026-10289,2026-09-23T15:19:00,SIM-Swap,120000,Jaipur
CYB-2026-10290,2026-09-21T03:26:00,Job Fraud,75000,Chennai
CYB-2026-10291,2026-09-29T03:47:00,Job Fraud,25000,Jaipur
CYB-2026-10292,2026-09-15T20:13:00,Loan-App Fraud,2000,Pune
CYB-2026-10293,2026-09-23T17:07:00,OTP Fraud,15000,Lucknow
CYB-2026-10294,2026-09-09T12:21:00,Romance Scam,15000,Kolkata
CYB-2026-10295,2026-09-15T10:54:00,SIM-Swap,48000,Bengaluru Urban
CYB-2026-10296,2026-09-11T03:52:00,SIM-Swap,5000,Chennai
CYB-2026-10297,2026-09-05T07:44:00,Investment Fraud,15000,Bengaluru Urban
CYB-2026-10298,2026-09-07T09:09:00,SIM-Swap,25000,South Delhi
CYB-2026-10299,2026-09-26T11:41:00,Job Fraud,8000,Mumbai City
CYB-2026-10300,2026-09-15T20:17:00,Loan-App Fraud,5000,Indore
CYB-2026-10301,2026-09-09T09:07:00,Loan-App Fraud,2000,Hyderabad
CYB-2026-10302,2026-09-04T11:24:00,Job Fraud,2000,Hyderabad
CYB-2026-10303,2026-09-15T01:56:00,OTP Fraud,5000,Hyderabad
CYB-2026-10304,2026-09-06T01:14:00,SIM-Swap,48000,Chandigarh
CYB-2026-10305,2026-09-16T00:36:00,Job Fraud,48000,Bhopal
CYB-2026-10306,2026-09-28T08:43:00,Investment Fraud,2000,Guwahati
CYB-2026-10307,2026-09-22T04:50:00,OTP Fraud,48000,Pune
CYB-2026-10308,2026-09-04T18:19:00,SIM-Swap,48000,Kochi
CYB-2026-10309,2026-09-17T02:01:00,Investment Fraud,75000,Bhopal
CYB-2026-10310,2026-09-19T03:07:00,OTP Fraud,120000,Nagpur
CYB-2026-10311,2026-09-19T10:01:00,Job Fraud,25000,Mumbai City
CYB-2026-10312,2026-09-25T02:37:00,SIM-Swap,15000,Chennai
CYB-2026-10313,2026-09-17T02:26:00,Investment Fraud,15000,Lucknow
CYB-2026-10314,2026-09-07T23:18:00,Job Fraud,25000,Central Delhi
CYB-2026-10315,2026-09-26T05:26:00,Investment Fraud,120000,Nagpur
CYB-2026-10316,2026-09-18T20:11:00,SIM-Swap,15000,Patna
CYB-2026-10317,2026-09-25T08:15:00,Loan-App Fraud,25000,Lucknow
CYB-2026-10318,2026-09-11T12:23:00,Investment Fraud,8000,Lucknow
CYB-2026-10319,2026-09-10T10:58:00,SIM-Swap,8000,Jaipur
CYB-2026-10320,2026-09-06T15:18:00,SIM-Swap,8000,Lucknow
CYB-2026-10321,2026-09-13T17:03:00,SIM-Swap,8000,Hyderabad
CYB-2026-10322,2026-09-17T14:24:00,OTP Fraud,5000,Kochi
CYB-2026-10323,2026-09-10T01:05:00,Loan-App Fraud,15000,South Delhi
CYB-2026-10324,2026-09-12T11:33:00,Romance Scam,75000,Patna
CYB-2026-10325,2026-09-03T00:52:00,Romance Scam,250000,Patna
CYB-2026-10326,2026-09-05T08:47:00,Romance Scam,250000,Mumbai Suburban
CYB-2026-10327,2026-09-30T18:25:00,SIM-Swap,8000,Mumbai Suburban
CYB-2026-10328,2026-09-18T11:37:00,Loan-App Fraud,250000,Patna
CYB-2026-10329,2026-09-21T13:25:00,SIM-Swap,25000,Bengaluru Urban
CYB-2026-10330,2026-09-01T12:16:00,Job Fraud,120000,Chennai
CYB-2026-10331,2026-09-13T21:46:00,Job Fraud,250000,Hyderabad
CYB-2026-10332,2026-09-03T11:33:00,OTP Fraud,5000,Bhopal
CYB-2026-10333,2026-09-18T00:34:00,Investment Fraud,75000,Mumbai City
CYB-2026-10334,2026-09-14T07:41:00,SIM-Swap,75000,Nagpur
CYB-2026-10335,2026-09-14T11:17:00,Loan-App Fraud,15000,Central Delhi
CYB-2026-10336,2026-09-14T01:36:00,SIM-Swap,25000,Mumbai City
CYB-2026-10337,2026-09-23T01:18:00,Investment Fraud,120000,South Delhi
CYB-2026-10338,2026-09-04T06:19:00,Investment Fraud,8000,Kolkata
CYB-2026-10339,2026-09-18T03:52:00,Loan-App Fraud,120000,Jaipur
CYB-2026-10340,2026-09-09T21:45:00,Loan-App Fraud,48000,Kochi
CYB-2026-10341,2026-09-28T07:07:00,SIM-Swap,5000,Lucknow
CYB-2026-10342,2026-09-06T14:30:00,Romance Scam,25000,Pune
CYB-2026-10343,2026-09-29T03:50:00,Investment Fraud,48000,Indore
CYB-2026-10344,2026-09-22T13:28:00,SIM-Swap,5000,Chandigarh
CYB-2026-10345,2026-09-16T06:48:00,SIM-Swap,48000,Chandigarh
CYB-2026-10346,2026-09-06T02:51:00,SIM-Swap,48000,Indore
CYB-2026-10347,2026-09-18T17:13:00,Romance Scam,5000,Lucknow
